Gene,Description,endo_K_I_normalized_values,endo_K_II_normalized_values,endo_C_I_normalized_values,endo_C_II_normalized_values,endo_C_III_normalized_values,average_K,st_deviation_K,average_C,st_deviation_C
Parp4,Protein mono-ADP-ribosyltransferase PARP4,1.131403956434733,1.1194669704037798,0.9246846373048659,1.2295950435389429,,1.1254354634192563,0.005968493015476528,1.0771398404219044,0.15245520311703847
Ascc3,Activating signal cointegrator 1 complex subunit 3,1.6135574863295683,4.4998817695142055,2.637810141727534,3.5674916132774395,1.7530021404563867,3.056719627921887,1.4431621415923188,2.6527679651537865,0.7408377303682833
Tns1,Tensin-1,0.537331930706234,0.8976988390217793,0.81237885323661,0.9080571148456947,,0.7175153848640066,0.18018345415777265,0.8602179840411524,0.047839130804542385
Tex264,Isoform 2 of Testis-expressed protein 264 homolog,0.047681221896411434,0.24173154588551252,0.6483143222395831,0.17437719005827945,,0.14470638389096196,0.09702516199455054,0.41134575614893126,0.2369685660906518
Irf2bp2,Interferon regulatory factor 2-binding protein 2,0.4464171243301145,0.36568667124125565,0.44874984438672455,0.8733059489667995,0.5028724269410937,0.40605189778568507,0.04036522654442942,0.6083094067648726,0.18867907324311628
Abcc4,Isoform 2 of ATP-binding cassette sub-family C member 4,1.1070659747326617,1.1252817324913753,0.8281108272060438,0.8826459911442136,1.2751670382431142,1.1161738536120185,0.009107878879356823,0.9953079521977904,0.1991387323082975
Akap13,Isoform 2 of A-kinase anchor protein 13,1.1364863103674385,1.4072746761985258,1.5420625527988128,1.4315585467963519,0.05779100206319068,1.2718804932829821,0.13539418291554361,1.010470700552785,0.6751551623003986
Pi4ka,Phosphatidylinositol 4-kinase alpha,0.37321667581115653,0.5011149785498648,0.5313246679627125,0.6145089299103216,0.41832092761912504,0.43716582718051067,0.06394915136935411,0.5213848418307198,0.08040121544853793
Apob,Apolipoprotein B-100,0.7375995365961122,0.6937759417649124,0.81668804893294,0.5556318833025227,,0.7156877391805123,0.0219117974155999,0.6861599661177313,0.13052808281520867
Arid1b,AT-rich interactive domain-containing protein 1B,0.966348402172452,0.8549140281555876,0.8485682115963502,1.033867929550623,,0.9106312151640198,0.0557171870084322,0.9412180705734866,0.0926498589771364
Wdfy1,WD repeat and FYVE domain-containing protein 1,0.5940535045258852,0.583799617076643,0.9315588760999788,0.5216625354459029,0.9626106721580759,0.5889265608012642,0.005126943724621136,0.8052773612346525,0.20094622923391806
Rnf213,E3 ubiquitin-protein ligase RNF213,0.6072754002576317,0.6519007664221526,1.4271765137230596,0.6471552832627706,0.7780732078140106,0.6295880833398921,0.02231268308226042,0.9508016682666135,0.3410616960609333
Dsp,Desmoplakin,8.165265710440199,4.025993797834988,19.019529587975054,5.702154726067251,21.45655015352897,6.095629754137594,2.0696359563026054,15.392744822523758,6.924132659156133
Nolc1,Isoform 2 of Nucleolar and coiled-body phosphoprotein 1,1.1351612797437343,1.5672306524950619,1.4381252362640204,1.274291290639786,0.0702715694870776,1.351195966119398,0.2160346863756638,0.9275626987969613,0.609875096900867
Ythdc1,Isoform 2 of YTH domain-containing protein 1,0.6843230084142333,1.0989299764787288,0.8953670474302764,1.0421727681311432,,0.8916264924464811,0.20730348403224774,0.9687699077807098,0.07340286035043342
Bod1l,Isoform 2 of Biorientation of chromosomes in cell division protein 1-like 1,1.0734546987526394,1.0030586771128531,1.0806496070094396,1.1060051081862605,,1.0382566879327464,0.035198010819893155,1.09332735759785,0.012677750588410475
Ttc7b,Tetratricopeptide repeat protein 7B,0.1241782065936502,0.01884030013811431,,1.3824071917931413,,0.07150925336588225,0.05266895322776795,1.3824071917931413,0.0
Zc3h13,Zinc finger CCCH domain-containing protein 13,1.2114455594737055,,1.3908663539557626,,,1.2114455594737055,0.0,1.3908663539557626,0.0
Arhgef5,Rho guanine nucleotide exchange factor 5,1.429981137259613,,1.4656611150784145,,,1.429981137259613,0.0,1.4656611150784145,0.0
Numa1,Nuclear mitotic apparatus protein 1,3.432169663731425,4.428468608455955,3.379846723767666,3.306777507014514,1.7146626886225238,3.93031913609369,0.4981494723622648,2.800428973134901,0.7683320011761796
Dnajc21,DnaJ homolog subfamily C member 21,0.8524076968680647,0.675022594815228,0.4994822100303035,0.8307567156566212,,0.7637151458416463,0.08869255102641838,0.6651194628434624,0.16563725281315886
Fry,Isoform 2 of Protein furry homolog,1.2201256145343524,1.0076107854178211,0.7600619625247479,1.1454288848982503,,1.1138681999760869,0.10625741455826565,0.9527454237114992,0.19268346118675123
Rap1gds1,Isoform 2 of Rap1 GTPase-GDP dissociation stimulator 1,0.011791481164361677,0.4841657464814367,0.6736335366680135,0.9532134643000001,,0.24797861382289918,0.2361871326585375,0.8134235004840068,0.1397899638159933
Helz2,Helicase with zinc finger domain 2,,1.380923858593329,1.4099628250854777,1.4529119415178409,,1.380923858593329,0.0,1.4314373833016591,0.021474558216181605
Sec16a,Isoform 2 of Protein transport protein Sec16A,2.446301681164464,2.9627452242364445,2.7501045818724115,3.178853389693291,0.7367702728409488,2.704523452700454,0.25822177153599024,2.221909414802217,1.0646392466593384
Tpr,Nucleoprotein TPR,0.8073679383029854,0.9140466581495865,0.7876147759640145,0.6498937733129277,0.22739994454472148,0.860707298226286,0.05333935992330058,0.5549694979405546,0.2383528587014979
Skic3,Superkiller complex protein 3,0.056076594178531176,0.08999608967386201,0.11615730608798133,0.00043393792562453656,0.680163402352497,0.0730363419261966,0.016959747747665416,0.2655848821220343,0.29693375979845543
Farp1,"FERM, ARHGEF and pleckstrin domain-containing protein 1",0.7607235639143762,1.1429877990211,0.6933212569847204,1.029149290683251,0.5581232936132048,0.9518556814677381,0.19113211755336185,0.7601979470937253,0.1980248153454674
QNG1,Queuosine 5'-phosphate N-glycosylase/hydrolase,0.1271828893993641,0.36649111660128664,0.2483400979737931,0.33704659961133154,0.5421740816503178,0.24683700300032535,0.11965411360096127,0.37585359307848076,0.12305578558056116
Nccrp1,F-box only protein 50,2.1812632717585476,0.7957062193307867,5.550497686197176,2.6099742963864734,4.824536026614622,1.488484745544667,0.6927785262138805,4.328336003066091,1.250687890464851
Sipa1l3,Signal-induced proliferation-associated 1-like protein 3,0.4426502855408709,0.27254194127995046,0.3619730560692104,0.42720263233366906,0.8128084577613183,0.35759611341041064,0.08505417213046021,0.5339947153880659,0.19894145136537694
Arfgef1,Brefeldin A-inhibited guanine nucleotide-exchange protein 1,0.021262680439418022,0.19002556097953122,0.11946305212646549,0.09868111526888222,0.7147616670032779,0.10564412070947463,0.0843814402700566,0.3109686114662085,0.2856508311439688
Kbtbd2,Kelch repeat and BTB domain-containing protein 2,0.3041302111909863,0.17558001769340706,,0.7952731237875927,1.0820118529545095,0.2398551144421967,0.06427509674878963,0.9386424883710511,0.1433693645834584
Atp2b1,Plasma membrane calcium-transporting ATPase 1,2.0874783586544225,2.6639492098476483,2.218464949389525,2.694337311198512,0.7919768339730578,2.3757137842510354,0.28823542559661286,1.901593031520365,0.8083108748404186
Trip12,E3 ubiquitin-protein ligase TRIP12,0.323962680966168,0.17203786598001208,0.0035944635153095554,0.3752543177936036,,0.24800027347309003,0.07596240749307795,0.18942439065445657,0.185829927139147
Poglut3,Protein O-glucosyltransferase 3,0.46809631093326987,0.4360511177096698,0.6017741701139954,0.5884180472540601,0.8038226487377567,0.4520737143214698,0.016022596611800027,0.6646716220352707,0.09854559918714244
Zbtb11,Zinc finger and BTB domain-containing protein 11,0.724593285435351,,0.2867801362375946,0.7633210177193518,0.5178455477578021,0.724593285435351,0.0,0.5226489005715829,0.19457664655955467
Adgrf5,Adhesion G protein-coupled receptor F5,,,1.3940381344349184,1.4478400116789465,,,,1.4209390730569325,0.026900938622014037
Arfip1,Arfaptin-1,1.4208764878770233,1.6366889160712281,1.6449446244267503,1.5048977940023336,0.45862762367285126,1.5287827019741256,0.10790621409710244,1.2028233473673116,0.5293226709999757
Aldh3b3,Aldehyde dehydrogenase family 3 member B3,0.7383616755877126,0.8992231314249371,0.8453412066879092,1.0221548449641065,0.978195463719093,0.8187924035063249,0.08043072791861228,0.9485638384570363,0.07516333583988806
Hk2,Hexokinase-2,1.1338350936688582,,1.1313719776488957,,,1.1338350936688582,0.0,1.1313719776488957,0.0
Capn2,Calpain-2 catalytic subunit,1.0938846557273758,1.4552526161870154,1.2401243671049629,1.083873704413624,0.14346402815602405,1.2745686359571957,0.1806839802298198,0.8224873665582036,0.48436080764171474
Cacna2d1,Isoform 2B of Voltage-dependent calcium channel subunit alpha-2/delta-1,0.7331409054013434,0.6769558912201625,0.8299318844532019,0.8567574467298926,0.9078029586907077,0.7050483983107529,0.028092507090590413,0.8648307632912674,0.03229922476831203
Bin1,Isoform 2 of Myc box-dependent-interacting protein 1,0.17273425795481392,0.19152798671852453,0.18596948452107026,0.23064619497756558,0.4232033394444984,0.18213112233666923,0.009396864381855302,0.2799396729810448,0.10293156532608498
Sec22b,Vesicle-trafficking protein SEC22b,20.323441198665044,22.32001402653551,23.863815549756108,24.894977855549612,12.067429657619895,21.321727612600277,0.998286413935233,20.275407687641874,5.8191638248815405
Dpysl2,Dihydropyrimidinase-related protein 2,21.94538878977874,17.342297219666936,22.987243936932988,24.64751220521612,12.359857958199242,19.64384300472284,2.301545785055902,19.998204700116116,5.443490203474303
Lgals9,Isoform 2 of Galectin-9,0.053317614666209566,0.20050766072462964,,,0.43574532823509904,0.1269126376954196,0.07359502302921003,0.43574532823509904,0.0
Rundc3a,Isoform 2 of RUN domain-containing protein 3A,0.9404921236461893,0.7313643302298309,0.45730638051809547,0.7280955103425939,1.4772283217051667,0.8359282269380102,0.10456389670817917,0.8875434041886187,0.43137602673896996
